"Segment","Symbol","Net Qty","Prev. Close (₹)","Realized Profit/Loss  (₹)","Unrealized Profit/Loss  (₹)","Profit/Loss (₹)","Buy Qty","Buy Rate (₹)","Sell Qty","Sell Rate (₹)","Open Qty","Open Rate (₹)"
"NSE_FNO","NSE:BANKNIFTY2292239200PE","0","0","885","0","885","75","35.05","75","46.85","0","0"
"NSE_FNO","NSE:BANKNIFTY2292239300PE","0","0","2891.25","0","2891.25","50","43.35","50","101.175","0","0"
"NSE_FNO","NSE:BANKNIFTY2292240000PE","0","0","3697.5","0","3697.5","50","43.75","50","117.7","0","0"
"NSE_FNO","NSE:BANKNIFTY2292240200PE","0","0","762.5","0","762.5","50","45.3","50","60.55","0","0"
"NSE_FNO","NSE:BANKNIFTY2292240300PE","0","0","4253.75","0","4253.75","75","5.3","75","62.0167","0","0"
"NSE_FNO","NSE:BANKNIFTY2292240400PE","0","0","117.5","0","117.5","100","124.25","100","125.425","0","0"
"NSE_FNO","NSE:BANKNIFTY2292240800PE","0","0","720","0","720","100","133.8625","100","141.0625","0","0"
"NSE_FNO","NSE:BANKNIFTY2292240900CE","0","0","-5011.25","0","-5011.25","225","87.0222","225","64.75","0","0"
"NSE_FNO","NSE:BANKNIFTY2292241200CE","0","0","1860","0","1860","75","13.75","75","38.55","0","0"
"NSE_FNO","NSE:BANKNIFTY2292241500PE","0","0","10162.5","0","10162.5","25","663.9","25","1070.4","0","0"
"NSE_FNO","NSE:BANKNIFTY2292241600CE","0","0","-2856.25","0","-2856.25","50","182.975","50","125.85","0","0"
"NSE_FNO","NSE:BANKNIFTY2292241800CE","0","0","-3106.25","0","-3106.25","50","171.525","50","109.4","0","0"
"NSE_FNO","NSE:BANKNIFTY2292241900CE","0","0","-4093.75","0","-4093.75","50","156.05","50","74.175","0","0"
"NSE_FNO","NSE:BANKNIFTY2292242000CE","0","0","4086.25","0","4086.25","75","7","75","61.4833","0","0"
"NSE_FNO","NSE:BANKNIFTY2292242100CE","0","0","2987.5","0","2987.5","50","37.55","50","97.3","0","0"
"NSE_FNO","NSE:BANKNIFTY2292242300CE","0","0","-27.5","0","-27.5","25","57.4","25","56.3","0","0"
"NSE_FNO","NSE:BANKNIFTY2292244000CE","0","0","-197.5","0","-197.5","100","5.075","100","3.1","0","0"
"NSE_FNO","NSE:BANKNIFTY22D0142500PE","0","0","430","0","430","100","24.05","100","28.35","0","0"
"NSE_FNO","NSE:BANKNIFTY22D0143100CE","0","0","-243.75","0","-243.75","25","233.45","25","223.7","0","0"
"NSE_FNO","NSE:BANKNIFTY22D0143200PE","0","0","-803.75","0","-803.75","50","176.9","50","160.825","0","0"
"NSE_FNO","NSE:BANKNIFTY22D0842000PE","0","0","767.5","0","767.5","50","56.7","50","72.05","0","0"
"NSE_FNO","NSE:BANKNIFTY22D0843200PE","0","0","-1200","0","-1200","25","383.6","25","335.6","0","0"
"NSE_FNO","NSE:BANKNIFTY22D1543400CE","0","0","708.75","0","708.75","25","329.35","25","357.7","0","0"
"NSE_FNO","NSE:BANKNIFTY22D1544000CE","0","0","890","0","890","50","90.55","50","108.35","0","0"
"NSE_FNO","NSE:BANKNIFTY22D1544400CE","0","0","112.5","0","112.5","25","30.2","25","34.7","0","0"
"NSE_FNO","NSE:BANKNIFTY22D2242000PE","0","0","1012.5","0","1012.5","50","19.4","50","39.65","0","0"
"NSE_FNO","NSE:BANKNIFTY22D2242800PE","0","0","-3830","0","-3830","50","126.95","50","50.35","0","0"
"NSE_FNO","NSE:BANKNIFTY22D2243000PE","0","0","126.25","0","126.25","50","67.425","50","69.95","0","0"
"NSE_FNO","NSE:BANKNIFTY22D2243300CE","0","0","-2338.75","0","-2338.75","25","307.8","25","214.25","0","0"
"NSE_FNO","NSE:BANKNIFTY22D2244000CE","0","0","1982.5","0","1982.5","50","9.55","50","49.2","0","0"
"NSE_FNO","NSE:BANKNIFTY22D2244000PE","0","0","13056.25","0","13056.25","50","305.475","50","566.6","0","0"
"NSE_FNO","NSE:BANKNIFTY22D2244100CE","0","0","923.75","0","923.75","50","36.1","50","54.575","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC41300PE","0","0","868.75","0","868.75","50","49.65","50","67.025","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC41800PE","0","0","-1062.5","0","-1062.5","50","64.9","50","43.65","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC42300PE","0","0","-21428.75","0","-21428.75","100","282.25","100","67.9625","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC42800PE","0","0","3197.5","0","3197.5","25","253.9","25","381.8","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC43000CE","0","0","-4178.75","0","-4178.75","25","1157","25","989.85","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC43000PE","0","0","2170","0","2170","25","175.95","25","262.75","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC43300PE","0","0","-2300","0","-2300","25","364.4","25","272.4","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC43500PE","0","0","29836.25","0","29836.25","25","276.3","25","1469.75","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC44500CE","0","0","-912.5","0","-912.5","25","250.6","25","214.1","0","0"
"NSE_FNO","NSE:BANKNIFTY22DEC44500PE","0","0","1722.5","0","1722.5","25","761.85","25","830.75","0","0"
