Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2015-01-01,SBIN,2015-01-29,315.1,317.95,313.4,316.65,317.0,316.65,14720,5821172000.0,55480000,358750,314.0
2015-01-02,SBIN,2015-01-29,317.5,320.95,317.1,317.75,318.3,317.75,22525,8988242000.0,55087500,-392500,315.25
2015-01-05,SBIN,2015-01-29,318.0,318.75,314.1,315.0,315.05,315.0,17455,6898723000.0,55718750,631250,312.75
2015-01-06,SBIN,2015-01-29,312.95,312.95,300.1,301.3,301.1,301.3,29338,11267153000.0,56701250,982500,299.9
2015-01-07,SBIN,2015-01-29,301.95,304.55,297.35,302.25,303.5,302.25,28489,10748233000.0,58036250,1335000,300.15
2015-01-08,SBIN,2015-01-29,306.5,308.4,303.7,306.65,307.0,306.65,20120,7702653000.0,57287500,-748750,304.85
2015-01-09,SBIN,2015-01-29,306.75,309.25,301.05,304.75,304.15,304.75,18961,7247211000.0,57035000,-252500,303.2
