Date,Open,High,Low,Close,Volume,Turnover
2015-01-01,8272.8,8294.7,8248.75,8284.0,56560411,23218800000.0
2015-01-01,18728.2,18781.55,18638.85,18750.45,20469847,8101700000.0
2015-01-02,8288.7,8410.6,8288.7,8395.45,101887024,47157200000.0
2015-01-02,18752.2,19118.85,18752.2,19057.8,41288039,17134800000.0
2015-01-05,8407.95,8445.6,8363.9,8378.4,118160545,55255200000.00001
2015-01-05,19155.2,19166.0,18987.7,19017.4,36318747,14974000000.0
2015-01-06,8325.3,8327.85,8111.35,8127.35,172799618,80891900000.0
2015-01-06,18874.6,18874.6,18388.35,18430.75,52069776,21246400000.0
2015-01-07,8118.65,8151.2,8065.45,8102.1,164075424,74643300000.0
2015-01-07,18382.55,18482.05,18211.5,18304.25,58241387,23415800000.0
2015-01-08,8191.4,8243.5,8167.3,8234.6,143802802,81474000000.0
2015-01-08,18587.1,18752.3,18486.2,18701.4,47744703,22087000000.0
2015-01-09,8285.45,8303.3,8190.8,8284.5,152612528,93059500000.0
2015-01-09,18845.9,18864.0,18479.65,18637.25,51848548,23607800000.000004
