,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
"('BANKNIFTY', '2021-05-27', '32350.0', '32757.65', '31625.0', '32655.85', '32736.2', '32655.85', '222837', '180600721000.0', '1490600', '206775', 'nan')",,,,,,,,,,,,,
"('BANKNIFTY', '2021-05-27', '32755.05', '33206.0', '32316.5', '32422.55', '32445.0', '32422.55', '221789', '181913324000.0', '1510000', '19400', 'nan')",,,,,,,,,,,,,
"('BANKNIFTY', '2021-05-27', '32730.0', '33060.7', '32134.7', '32973.65', '33060.7', '32973.65', '210938', '172709803000.0', '1504225', '-5775', '32783.7')",,,,,,,,,,,,,
